artists,titles,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,clusters
Katy Perry,Part Of Me,0.678,0.918,-4.63,0.0355,0.000417,0.0,0.0744,0.769,130.028,216160.0,4
Sufjan Stevens,Particle Physics,0.0776,0.00328,-20.814,0.0493,0.737,0.0348,0.156,0.0393,173.779,64427.0,7
Puberty,Parties,0.608,0.581,-10.812,0.0394,0.0132,0.873,0.0921,0.495,144.372,186999.0,5
The Strokes,Partners In Crime,0.538,0.951,-4.741,0.0606,0.000934,0.0545,0.239,0.551,106.033,201893.0,6
LMFAO,Party Rock Anthem,0.751,0.736,-4.168,0.156,0.0206,0.0,0.265,0.352,130.014,262147.0,0
Les Trois Accords,Pas capable d'arrêter,0.558,0.975,-3.702,0.0915,0.00183,0.0,0.294,0.544,120.012,172107.0,6
TRICOT MACHINE,Pas fait en chocolat,0.706,0.675,-7.482,0.0271,0.488,3.87e-05,0.135,0.809,90.04,140240.0,4
Mac DeMarco,Passing Out Pieces,0.417,0.73,-6.774,0.0363,0.000563,3.31e-06,0.0766,0.43,81.179,167091.0,6
Mac DeMarco,Passing Out Pieces Of Me,0.43,0.817,-5.413,0.0285,0.318,0.854,0.0724,0.935,74.075,183025.0,5
Tame Impala,Past Life,0.371,0.778,-7.196,0.0559,0.211,0.00141,0.181,0.288,145.734,228040.0,2
Real Estate,Past Lives,0.61,0.698,-8.44,0.0276,0.213,0.035,0.193,0.688,112.624,273080.0,6
Radio Radio,Pasta Rasta,0.777,0.375,-9.214,0.508,0.391,0.0,0.179,0.871,60.442,23177.0,0
Malajube,Pâte filo,0.398,0.912,-4.886,0.0817,0.0468,0.0341,0.169,0.434,146.851,224733.0,2
The Beatles,P.S. I Love You - Remastered 2009,0.635,0.656,-8.5,0.0291,0.389,0.00127,0.0828,0.77,134.435,124360.0,4
Pulp,P.T.A. - Parent Teacher Association,0.445,0.872,-5.452,0.0404,0.0321,3.12e-05,0.33,0.81,152.06,195773.0,4
Michael Jackson,P.Y.T. (Pretty Young Thing),0.888,0.816,-4.909,0.0404,0.233,0.00042,0.127,0.961,127.276,238733.0,4
Michael Jackson,P.Y.T. (Pretty Young Thing),0.89,0.79,-5.518,0.0437,0.229,0.0004,0.11,0.957,127.409,238133.0,4
The Lumineers,Patience,0.482,0.262,-16.969,0.0674,0.974,0.905,0.107,0.0375,138.144,97053.0,7
Pulp,Paula - demo previously unreleased,0.497,0.752,-5.839,0.0393,0.239,1.72e-05,0.205,0.903,141.081,214667.0,4
Katy Perry,Peacock,0.816,0.751,-3.132,0.0421,0.0502,0.0,0.166,0.945,139.981,231933.0,4
Katy Perry,Pearl,0.557,0.584,-6.275,0.0375,0.103,0.0,0.311,0.22,116.098,247627.0,6
Beirut,The Penalty,0.446,0.24,-11.699,0.0374,0.948,0.0,0.0982,0.232,116.149,144320.0,1
Pulp,Pencil Skirt,0.479,0.585,-9.156,0.0333,0.0292,0.00291,0.285,0.573,96.897,191267.0,6
Felt,Penelope Tree,0.458,0.867,-6.21,0.0829,0.00234,0.00547,0.231,0.326,147.255,178347.0,2
The Beatles,Penny Lane - Alternate Mix / Anthology 2 Version,0.591,0.548,-7.831,0.0326,0.175,0.000181,0.454,0.572,112.813,192680.0,3
The Beatles,Penny Lane - Remastered 2009,0.651,0.488,-8.22,0.0316,0.212,0.026,0.136,0.49,113.038,180893.0,6
The Beatles,Penny Lane - Remastered 2009,0.649,0.456,-8.998,0.0309,0.219,0.0235,0.134,0.503,113.069,181600.0,6
The Beatles,Penny Lane - Remastered 2015,0.679,0.592,-5.963,0.0402,0.0964,0.0138,0.16,0.55,113.265,180520.0,6
George Martin,Pepperland - Remastered 2009,0.354,0.281,-12.434,0.032,0.661,0.763,0.243,0.367,113.126,140733.0,7
George Martin,Pepperland Laid Waste - Remastered 2009,0.269,0.0902,-23.018,0.042,0.877,0.821,0.302,0.0462,82.423,132773.0,7
Mac DeMarco,Pepperoni Playboy,0.645,0.526,-10.068,0.0448,0.546,0.716,0.297,0.808,89.754,151148.0,5
The xx,Performance,0.277,0.313,-9.413,0.0383,0.494,0.00027,0.106,0.0582,84.975,246013.0,1
Ariane Moffatt,Perséides,0.545,0.229,-13.567,0.0297,0.846,0.0378,0.104,0.131,137.919,321427.0,1
John Travolta,"Personality Goes A Long Way - Dialogue Excerpt From ""Pulp Fiction""",0.666,0.396,-24.236,0.929,0.876,0.0,0.688,0.392,63.738,61507.0,0
Bon Iver,Perth,0.471,0.453,-14.463,0.0462,0.856,0.537,0.326,0.0677,119.959,262080.0,7
Ariane Moffatt,Petit Animal,0.499,0.795,-6.507,0.0491,0.0259,0.00035,0.106,0.679,175.867,180587.0,4
Koriass,Petit love,0.694,0.678,-6.649,0.288,0.0434,0.0,0.118,0.511,100.701,277520.0,0
VioleTT Pi,Petit singe robot,0.68,0.574,-9.938,0.0498,0.0642,0.00231,0.132,0.499,129.989,204000.0,6
Tassilo,Petite Patate,0.822,0.651,-9.839,0.0634,0.00177,0.886,0.0935,0.0392,126.003,538000.0,5
Daft Punk,Phoenix,0.804,0.719,-8.207,0.0835,1.91e-05,0.926,0.0847,0.569,126.874,297107.0,5
The Doors,The Piano Bird,0.586,0.573,-16.05,0.0425,0.885,0.914,0.185,0.861,167.682,347253.0,5
Jake Shimabukuro,Pianoforte 2010,0.716,0.101,-22.44,0.0762,0.977,0.884,0.104,0.537,112.908,171280.0,7
Average White Band,Pick Up the Pieces,0.768,0.853,-5.915,0.0427,0.0548,0.13,0.0188,0.889,107.234,239908.0,4
Les Trois Accords,Pièce de viande,0.626,0.551,-5.483,0.0315,0.0882,0.0,0.327,0.523,75.397,157227.0,6
The Beatles,Piggies - Anthology 3 Version,0.586,0.209,-10.015,0.0322,0.897,0.0,0.0852,0.435,90.066,121000.0,1
The Beatles,Piggies - Remastered 2009,0.542,0.445,-9.105,0.0303,0.643,0.0,0.516,0.52,93.245,124267.0,3
Karkwa,Pili-pili,0.69,0.588,-6.87,0.0396,0.0386,0.00949,0.614,0.682,128.162,228800.0,3
The National,Pink Rabbits,0.501,0.657,-7.332,0.0443,0.789,0.0997,0.0908,0.282,110.11,276200.0,1
Hans Zimmer,A Place Among the Stars,0.183,0.0326,-25.374,0.0424,0.97,0.819,0.0756,0.0287,70.042,207118.0,7
Tahiti Boy,Place de la Nation,0.408,0.178,-18.678,0.202,0.959,0.929,0.0806,0.0795,173.198,78373.0,7
Tahiti Boy,Place de la République,0.449,0.231,-13.842,0.0602,0.899,0.594,0.0975,0.327,167.043,104347.0,7
Pixies,Planet Of Sound,0.412,0.998,-4.612,0.165,0.00557,0.171,0.782,0.036,154.889,126427.0,3
Justin Hurwitz,Planetarium,0.248,0.136,-15.697,0.038,0.926,0.765,0.249,0.0398,127.282,259347.0,7
Miike Snow,Plastic Jungle,0.724,0.851,-5.485,0.175,0.00904,0.00599,0.193,0.355,119.931,234213.0,0
Miike Snow,Plastic Jungle,0.721,0.842,-5.526,0.147,0.00624,0.00484,0.189,0.447,119.909,234213.0,0
Björk,Play Dead,0.509,0.646,-6.662,0.0269,0.000241,0.0507,0.0932,0.374,77.335,235827.0,6
The Beatles,Please Mister Postman - Remastered 2009,0.552,0.644,-9.129,0.0372,0.675,0.0,0.36,0.961,122.546,154160.0,4
The Beatles,Please Please Me - Anthology 1 Version,0.583,0.687,-5.429,0.0325,0.605,0.0,0.0845,0.832,139.74,119160.0,4
The Beatles,Please Please Me - Remastered 2009,0.527,0.48,-9.61,0.028,0.334,0.0,0.0702,0.706,139.388,120853.0,4
Damien Robitaille,Plein d'amour,0.897,0.262,-13.506,0.111,0.113,0.336,0.107,0.64,81.035,199013.0,0
Jean Leloup,Plein gaz!,0.505,0.922,-5.66,0.0636,0.188,2.1e-05,0.237,0.482,147.994,171707.0,2
Mara Tremblay,Plexus solaire,0.5,0.505,-8.467,0.0309,0.025,0.051,0.109,0.423,72.452,209987.0,6
WhoMadeWho,The Plot,0.592,0.839,-6.045,0.169,0.00964,7.99e-06,0.157,0.551,125.024,256213.0,0
WhoMadeWho,The Plot (Discodeine Remix),0.838,0.604,-6.829,0.0507,0.00141,0.0188,0.0682,0.825,125.023,420320.0,0
WhoMadeWho,The Plot (Lützenkirchen Remix),0.79,0.75,-11.164,0.0872,0.00548,0.908,0.073,0.232,127.019,386973.0,5
WhoMadeWho,The Plot (Muzzle Flash Remix),0.803,0.951,-5.285,0.0525,0.0464,0.758,0.0597,0.729,124.989,351827.0,5
WhoMadeWho,The Plot (Noze Remix),0.405,0.611,-11.451,0.065,0.00119,0.497,0.148,0.787,125.059,411520.0,5
WhoMadeWho,The Plot (Telonius Remix),0.77,0.703,-7.588,0.109,0.000635,0.877,0.0923,0.623,119.971,352481.0,5
VioleTT Pi,Pogo,0.657,0.725,-8.869,0.0549,0.00673,0.00335,0.0961,0.58,139.942,183000.0,4
Childish Gambino,Poke,0.46,0.768,-5.827,0.193,0.0176,0.0,0.0661,0.6,150.061,216093.0,2
Twenty One Pilots,Polarize,0.597,0.666,-6.365,0.0418,0.122,0.00302,0.1,0.626,164.992,226787.0,4
Pink Floyd,Poles Apart,0.162,0.411,-11.333,0.0346,0.3,0.0769,0.687,0.246,61.418,423064.0,3
Coldplay,Politik,0.262,0.482,-7.75,0.0294,0.0364,0.000189,0.11,0.063,170.968,318627.0,2
Nirvana,Polly,0.83,0.382,-11.231,0.0566,0.884,0.301,0.11,0.54,121.12,173853.0,1
The Beatles,Polythene Pam - Anthology 3 Version,0.702,0.47,-12.168,0.0638,0.722,0.0,0.0639,0.97,167.809,86307.0,4
The Beatles,Polythene Pam - Remastered 2009,0.474,0.939,-8.884,0.199,0.00472,0.674,0.19,0.499,166.829,72640.0,2
Childish Gambino,Pop Thieves (Make It Feel Good),0.544,0.869,-8.363,0.0836,0.0746,1.27e-05,0.102,0.0647,104.622,309480.0,6
Manu Chao,Por el suelo,0.731,0.633,-12.028,0.15,0.457,1.84e-05,0.697,0.969,78.955,141413.0,3
Arcade Fire,Porno,0.689,0.529,-8.057,0.0287,0.122,0.121,0.0996,0.638,98.051,362839.0,6
Grupo Fantasma,Porque,0.506,0.621,-7.496,0.0406,0.516,0.000428,0.0703,0.622,172.151,179185.0,2
Cage The Elephant,Portuguese Knife Fight,0.56,0.928,-4.594,0.0559,0.00144,0.00295,0.318,0.615,115.204,217893.0,6
Björk,Possibly Maybe,0.393,0.195,-14.427,0.0375,0.705,0.000784,0.25,0.193,112.254,307173.0,1
Mac DeMarco,Potato Boy,0.241,0.703,-7.364,0.0726,0.582,0.843,0.103,0.645,164.815,166933.0,5
Radio Radio,Pour la fun,0.743,0.877,-6.69,0.106,0.0335,6.14e-05,0.068,0.444,133.019,199202.0,6
DJ Emjay And The Atari Babies,Power to the People,0.727,0.823,-6.4,0.0266,0.0021,0.0,0.0606,0.841,129.979,178169.0,4
Black Eyed Peas,Power to the People,0.622,0.546,-7.853,0.0476,0.00281,0.0,0.84,0.583,110.013,213013.0,3
Radio Radio,"Powers That Be / Saute, danse, chante (feat. Pierre Kwenders, Mamoru & Georgette LeBlanc)",0.569,0.709,-8.264,0.226,0.634,2.03e-06,0.116,0.675,91.96,396067.0,0
Rita Lee,Pra Você Eu Digo Sim,0.607,0.223,-14.951,0.0309,0.856,0.00115,0.115,0.42,107.612,160467.0,1
Radiohead,Present Tense,0.479,0.407,-12.428,0.0346,0.912,0.401,0.11,0.338,91.91,306581.0,1
Estelle,Pretty Please (Love Me) [feat. Cee-Lo],0.71,0.734,-4.3,0.0366,0.162,0.0,0.334,0.631,120.572,239640.0,4
Real Estate,Primitive,0.511,0.717,-8.868,0.0282,0.204,0.615,0.0664,0.562,132.729,256973.0,5
VioleTT Pi,Princesse carnivore,0.792,0.696,-9.738,0.0617,0.278,0.0286,0.286,0.592,120.022,168000.0,0
Jean Leloup,Printemps été,0.579,0.906,-6.036,0.0854,0.00399,0.000121,0.168,0.933,105.397,145373.0,4
Brazilian Girls,Problem,0.566,0.919,-5.522,0.105,0.000791,0.000262,0.218,0.446,165.895,152320.0,2
Grupo Fantasma,Problemas,0.685,0.896,-5.54,0.0505,0.137,2.51e-05,0.29,0.85,116.036,244853.0,4
The Whitest Boy Alive,Promise Less Or Do More,0.731,0.704,-6.812,0.0418,0.511,0.351,0.117,0.441,139.756,257533.0,5
Radio Radio,Psych,0.622,0.832,-5.86,0.0354,0.000642,2.97e-05,0.0884,0.212,108.998,335884.0,6
Radiohead,Pulk / Pull Revolving Doors,0.58,0.625,-12.073,0.0903,5.46e-05,0.725,0.1,0.14,97.043,247267.0,5
Leon Bridges,Pull Away,0.639,0.468,-8.329,0.0231,0.454,0.00976,0.12,0.42,97.525,180053.0,1
Les Trois Accords,Pull pastel,0.325,0.921,-5.062,0.0801,0.000342,1.65e-06,0.148,0.155,164.951,271787.0,2
Foster The People,Pumped Up Kicks,0.733,0.71,-5.849,0.0292,0.145,0.115,0.0956,0.965,127.975,239600.0,4
Tim Roth,"Pumpkin And Honey Bunny - Dialogue Excerpt From ""Pulp Fiction""",0.0,0.484,-12.296,0.0,0.909,0.0,0.848,0.0,0.0,13773.0,3
Cage The Elephant,Punchin' Bag,0.54,0.816,-5.956,0.0543,0.00828,0.00333,0.292,0.528,134.265,227493.0,6
Plants and Animals,Pure Heart,0.564,0.562,-8.694,0.0256,0.443,0.139,0.213,0.691,103.933,206223.0,6
alt-J,Pusher,0.619,0.0488,-18.962,0.061,0.949,0.000523,0.131,0.101,114.685,209271.0,1
Brazilian Girls,Pussy,0.694,0.794,-6.741,0.108,0.0191,0.0758,0.49,0.758,91.967,248053.0,3
The Breeders,Put on A Side,0.715,0.172,-24.853,0.0402,0.831,0.863,0.355,0.234,117.526,178773.0,7
Perfume Genius,Put Your Back N2 It,0.188,0.0962,-16.219,0.0353,0.934,0.207,0.106,0.0859,90.853,189800.0,7
Unknown Mortal Orchestra,Puttin It Down - Acoustic Version,0.726,0.151,-12.037,0.0353,0.767,0.00593,0.148,0.418,100.077,154480.0,1
Unknown Mortal Orchestra,Puzzles,0.41,0.782,-6.194,0.18,0.107,0.0371,0.0716,0.653,204.515,422707.0,2
Radiohead,Pyramid Song,0.127,0.335,-8.298,0.0329,0.786,0.427,0.111,0.0686,77.078,288733.0,7
Stromae,quand c'est ?,0.432,0.369,-12.543,0.146,0.104,6.57e-06,0.093,0.234,102.516,180533.0,1
Patrick Watson,The Quiet Crowd,0.499,0.179,-12.453,0.0369,0.94,0.000464,0.109,0.0989,101.688,236907.0,1
Koriass,Quinze minutes,0.844,0.407,-7.621,0.485,0.00528,0.0,0.165,0.686,84.914,198387.0,0
Arctic Monkeys,R U Mine?,0.288,0.758,-5.692,0.0371,0.00616,0.0,0.303,0.619,97.094,201726.0,6
Arctic Monkeys,R U Mine?,0.288,0.758,-5.692,0.0371,0.00616,0.0,0.303,0.619,97.094,201726.0,6
The Acid,Ra - David August Remix,0.674,0.401,-13.336,0.0412,0.229,0.871,0.103,0.255,113.0,394723.0,5
Miike Snow,The Rabbit,0.645,0.856,-6.301,0.054,0.0181,0.0974,0.199,0.627,121.951,268480.0,4
Philippe Brach,Race-Pape,0.668,0.776,-3.945,0.0423,0.0666,0.0,0.3,0.529,96.014,181587.0,6
Jack Johnson,Radiate,0.604,0.417,-8.084,0.079,0.144,0.00206,0.0841,0.576,180.024,255733.0,2
Kygo,Raging (feat. Kodaline),0.55,0.689,-7.76,0.094,0.0498,0.0,0.207,0.408,99.904,224487.0,6
General Elektriks,Raid the Radio,0.764,0.949,-2.824,0.0529,0.025,0.0265,0.197,0.509,87.982,229080.0,6
The Beatles,Rain - Remastered 2009,0.234,0.693,-8.277,0.0408,2.82e-05,0.899,0.442,0.541,106.933,181320.0,5
Spoon,Rainy Taxi,0.685,0.943,-1.865,0.0537,0.0266,0.000587,0.0829,0.934,146.03,238187.0,4
P!nk,Raise Your Glass,0.7,0.695,-4.973,0.0897,0.00629,0.0,0.0319,0.633,122.028,203333.0,4
John Williams,The Rathtars!,0.313,0.39,-12.706,0.0522,0.846,0.863,0.109,0.094,129.331,245520.0,7
WhoMadeWho,Raveo,0.857,0.633,-8.682,0.0548,0.023,0.911,0.104,0.445,130.016,227773.0,5
Philippe Brach,Ravin,0.745,0.654,-5.195,0.0723,0.353,3.33e-06,0.317,0.602,132.0,233627.0,4
The Strokes,Razorblade,0.395,0.859,-3.851,0.0409,0.00201,0.245,0.1,0.511,136.071,208133.0,2
Bon Iver,Re: Stacks,0.676,0.0812,-22.846,0.0398,0.979,0.416,0.118,0.314,125.053,401413.0,7
Busty and the Bass,The Real,0.48,0.69,-5.46,0.134,0.112,0.0,0.0799,0.489,155.648,291507.0,2
Regina Spektor,Real Love,0.36,0.164,-10.437,0.0335,0.965,0.00201,0.169,0.165,175.786,236907.0,1
The Beatles,Real Love - Anthology 2 Version,0.375,0.694,-7.334,0.031,0.0458,0.019,0.257,0.405,175.726,234053.0,2
Eminem,The Real Slim Shady,0.95,0.651,-4.226,0.0547,0.0337,0.0,0.0424,0.777,104.495,284800.0,0
Tame Impala,Reality In Motion,0.536,0.915,-4.993,0.0581,0.154,0.000788,0.372,0.472,115.037,252027.0,6
David Bowie,Rebel Rebel - 1999 Remaster,0.676,0.92,-7.96,0.0435,0.00101,8.65e-06,0.248,0.624,126.341,269360.0,4
General Elektriks,Rebel Sun,0.622,0.781,-6.594,0.0341,0.595,4.26e-05,0.251,0.699,93.743,304413.0,6
Arcade Fire,Rebellion (Lies),0.404,0.941,-5.653,0.0341,0.00687,0.61,0.288,0.725,127.14,310893.0,5
Radiohead,Reckoner,0.518,0.656,-7.438,0.0264,0.511,0.156,0.0679,0.203,104.282,290213.0,6
Vance Joy,Red Eye,0.535,0.542,-7.436,0.0288,0.0418,0.0,0.158,0.129,115.554,303827.0,6
The War On Drugs,Red Eyes,0.464,0.815,-6.371,0.0368,0.00871,0.201,0.162,0.467,161.845,298920.0,2
The Strokes,Red Light,0.534,0.835,-3.937,0.0408,0.000164,0.614,0.189,0.915,103.533,191693.0,4
Karkwa,Red Light,0.337,0.911,-6.006,0.066,0.0421,0.554,0.39,0.139,134.63,147200.0,2
Bob Marley & The Wailers,Redemption Song,0.671,0.256,-10.743,0.0387,0.608,0.0,0.0737,0.694,115.871,233560.0,1
Arcade Fire,Reflektor,0.589,0.72,-8.33,0.0309,0.0445,0.0142,0.364,0.648,111.602,453949.0,6
Amy Winehouse,Rehab,0.434,0.872,-2.974,0.0702,0.0473,1.83e-06,0.396,0.732,71.515,213760.0,6
MIKA,"Relax, Take It Easy",0.673,0.678,-7.284,0.0274,0.053,0.0437,0.0972,0.747,121.994,224800.0,4
Vinnie Who,Remedy,0.806,0.724,-6.108,0.0403,0.524,0.000213,0.0602,0.615,112.936,206000.0,0
Spoon,Rent I Pay,0.7,0.809,-6.047,0.0323,0.283,1.22e-05,0.11,0.962,96.405,189493.0,4
The xx,Replica,0.623,0.44,-10.934,0.0327,0.468,0.502,0.177,0.511,79.978,249000.0,5
The Strokes,Reptilia,0.488,0.65,-5.11,0.0336,0.000597,0.714,0.101,0.77,158.011,219827.0,5
The Strokes,Reptilia,0.489,0.649,-5.11,0.0336,0.000603,0.713,0.101,0.77,158.009,219827.0,5
Metronomy,Reservoir,0.739,0.456,-8.547,0.0342,0.361,0.385,0.103,0.455,147.96,194733.0,5
Loco Locass,Résistance,0.747,0.792,-6.893,0.221,0.0956,0.0,0.401,0.849,146.01,289773.0,0
The Rolling Stones,Respectable - Remastered,0.452,0.99,-2.823,0.0524,0.123,0.884,0.0677,0.875,152.111,187440.0,5
Philippe Brach,Ressac sur ta peau,0.444,0.375,-8.049,0.0402,0.916,0.000192,0.362,0.126,99.838,279040.0,1
Michael Kiwanuka,Rest,0.633,0.215,-11.979,0.0276,0.619,0.0509,0.128,0.338,77.606,230200.0,1
Interpol,Rest My Chemistry,0.506,0.899,-4.793,0.0364,0.0287,0.28,0.2,0.475,150.27,300507.0,2
Timber Timbre,Resurrection Drive,0.59,0.579,-7.553,0.026,0.00867,0.888,0.076,0.402,108.008,130573.0,5
Ariane Moffatt,Retourne Chez Elle,0.588,0.525,-6.648,0.0326,0.0177,0.0131,0.103,0.509,93.008,220707.0,6
Ariane Moffatt,Retourner en moi,0.487,0.71,-8.936,0.0339,0.0983,0.429,0.105,0.0993,76.01,187933.0,6
Childish Gambino,Retro [ROUGH],0.868,0.636,-5.691,0.0391,0.233,0.0125,0.112,0.304,109.954,202667.0,6
Ariane Moffatt,Rêve,0.592,0.563,-8.959,0.027,0.0211,0.521,0.0721,0.415,123.111,243013.0,5
Radio Radio,Rêve / Astral Flight (Bonus Track),0.793,0.554,-7.508,0.217,0.588,0.0,0.0762,0.575,87.001,255788.0,0
Kings of Leon,Reverend,0.448,0.815,-5.951,0.0361,0.0867,0.686,0.316,0.217,124.808,234080.0,5
The Beatles,Revolution,0.507,0.855,-7.63,0.063,0.0294,0.00015,0.272,0.817,120.913,203620.0,4
The Beatles,Revolution - Remastered 2009,0.407,0.834,-9.224,0.208,0.0734,0.00021,0.241,0.71,121.38,205293.0,4
The Beatles,Revolution - Remastered 2009,0.417,0.825,-9.539,0.176,0.0888,0.000358,0.23,0.708,121.054,204560.0,4
The Beatles,Revolution 1 - Remastered 2009,0.386,0.626,-9.451,0.0377,0.0785,0.00164,0.621,0.695,98.425,255707.0,3
The Beatles,Revolution 9 - Remastered 2009,0.208,0.615,-15.297,0.342,0.769,0.118,0.824,0.101,91.158,502013.0,3
Daft Punk,Revolution 909,0.745,0.716,-7.918,0.136,0.0265,0.846,0.246,0.828,126.527,335027.0,5
Daft Punk,Revolution 909,0.745,0.716,-7.918,0.136,0.0265,0.846,0.246,0.828,126.527,335027.0,5
John Williams,Rey Meets BB-8,0.0793,0.03,-25.662,0.0368,0.953,0.585,0.323,0.0371,172.775,91240.0,7
John Williams,Rey's Theme,0.234,0.139,-16.854,0.0342,0.975,0.889,0.0814,0.12,102.682,191067.0,7
Spoon,Rhthm & Soul,0.748,0.91,-5.344,0.0268,0.0283,0.00102,0.164,0.938,130.069,210853.0,4
Justin Hurwitz,Rialto,0.564,0.0167,-23.144,0.0488,0.961,0.867,0.0813,0.606,74.853,28027.0,7
Justin Hurwitz,Rialto At Ten,0.521,0.407,-10.569,0.0277,0.157,0.856,0.0626,0.788,90.976,98387.0,5
Lorde,Ribs,0.511,0.472,-9.277,0.091,0.534,0.614,0.11,0.0399,127.978,258969.0,5
Twenty One Pilots,Ride,0.645,0.713,-5.355,0.0393,0.00835,0.0,0.113,0.566,74.989,214507.0,6
Koriass,Rien d'autre,0.533,0.817,-7.168,0.203,0.0192,0.0,0.0805,0.144,87.399,217004.0,6
Karim Ouellet,Rien ne sert de courir - Bonus Track,0.609,0.76,-5.596,0.0446,0.0104,0.0,0.0408,0.897,122.685,204573.0,4
Cage The Elephant,Right Before My Eyes,0.488,0.903,-3.558,0.0373,0.000282,5.59e-05,0.131,0.305,132.057,194827.0,6
WhoMadeWho,Right Track,0.713,0.607,-7.923,0.028,0.0489,0.000661,0.218,0.372,100.006,278200.0,6
The Beatles,"Rip It Up / Shake, Rattle And Roll / Blue Suede Shoes - Medley / Anthology 3 Version",0.395,0.841,-7.328,0.191,0.0691,7.12e-05,0.129,0.726,156.215,190800.0,2
Vance Joy,Riptide,0.484,0.731,-6.694,0.0379,0.431,0.0,0.151,0.51,101.654,204280.0,6
Vance Joy,Riptide - Live from Spotify London,0.571,0.356,-13.506,0.0657,0.945,3e-05,0.112,0.636,102.19,189893.0,1
Fleece,Rise,0.294,0.656,-10.857,0.0554,0.046,0.000299,0.111,0.477,156.73,176066.0,2
Alabama Shakes,Rise to the Sun,0.467,0.812,-5.503,0.0764,0.665,0.00974,0.085,0.7,125.927,188613.0,4
Leon Bridges,River,0.635,0.184,-10.785,0.0456,0.665,0.0,0.146,0.177,128.424,240200.0,1
Daft Punk,Robot Rock,0.59,0.787,-5.766,0.0512,6.94e-06,0.845,0.0293,0.598,111.926,287720.0,5
Mac DeMarco,Robson Girl,0.458,0.878,-5.96,0.0484,0.0555,0.0201,0.276,0.769,178.652,176001.0,4
Mac DeMarco,Robson Girl,0.399,0.373,-17.233,0.0682,0.814,0.69,0.118,0.436,179.529,160227.0,7
The Beatles,"Rock And Roll Music - Live From Nippon Budokan Hall, Tokyo, Japan/1966 / Anthology 2 Version",0.372,0.952,-5.714,0.0476,0.0185,0.00103,0.408,0.843,153.324,99147.0,4
The Beatles,Rock And Roll Music - Remastered 2009,0.457,0.917,-6.213,0.0441,0.566,0.0,0.333,0.965,167.092,151280.0,4
Mac DeMarco,Rock and Roll Night Club,0.321,0.714,-6.634,0.0617,0.164,0.000415,0.257,0.611,115.524,190091.0,6
LMFAO,Rock The Beat II,0.388,0.893,-3.674,0.247,0.00215,0.0,0.188,0.343,139.281,113947.0,2
Michael Jackson,Rock with You - Single Version,0.808,0.535,-12.521,0.0353,0.179,9.91e-05,0.158,0.848,114.031,220627.0,0
Daft Punk,Rock'n Roll,0.955,0.899,-7.599,0.273,0.0171,0.64,0.0642,0.331,134.941,453867.0,5
The Beatles,Rocky Raccoon - Anthology 3 Version,0.611,0.29,-11.052,0.0548,0.689,0.0,0.361,0.648,75.926,252600.0,1
The Beatles,Rocky Raccoon - Remastered 2009,0.599,0.363,-11.728,0.0315,0.333,0.0,0.243,0.648,79.456,213107.0,1
The Beatles,Roll Over Beethoven - Anthology 1 Version,0.521,0.937,-6.375,0.0645,0.293,2.03e-06,0.911,0.9,90.474,145867.0,3
The Beatles,Roll Over Beethoven - Live / Remastered,0.199,0.823,-8.032,0.0393,0.00204,0.0,0.631,0.73,179.693,134013.0,3
The Beatles,Roll Over Beethoven - Remastered 2009,0.351,0.749,-9.435,0.0628,0.289,0.0,0.0952,0.967,160.673,165467.0,4
Mild High Club,Rollercoaster Baby,0.604,0.784,-10.717,0.0354,0.0443,0.0489,0.218,0.233,119.965,129320.0,6
The Whitest Boy Alive,Rollercoaster Ride,0.753,0.304,-9.859,0.0516,0.592,0.078,0.108,0.377,75.52,159880.0,1
Daft Punk,Rollin' & Scratchin',0.822,0.791,-4.87,0.0414,0.00108,0.621,0.0567,0.21,130.059,448627.0,5
Daft Punk,Rollin' & Scratchin',0.822,0.791,-4.87,0.0414,0.00108,0.621,0.0567,0.21,130.059,448627.0,5
Reuben And The Dark,Rolling Stone,0.574,0.652,-6.913,0.0322,0.0337,0.0557,0.134,0.245,125.939,257453.0,6
TRICOT MACHINE,Roman savon,0.497,0.413,-9.42,0.0422,0.957,0.0164,0.475,0.554,125.649,155013.0,1
Fly Golden Eagle,Ronnie,0.328,0.62,-8.83,0.0351,0.000704,0.91,0.0811,0.473,133.688,257400.0,5
Weval,Rooftop Paradise,0.592,0.868,-12.34,0.0496,0.298,0.634,0.0837,0.337,109.989,249500.0,5
WhoMadeWho,Rose,0.713,0.857,-8.177,0.0474,0.0852,0.849,0.186,0.199,123.98,272000.0,5
WhoMadeWho,Rose (Green Version),0.325,0.333,-10.127,0.0294,0.773,0.219,0.12,0.0672,112.943,196053.0,1
Grupo Fantasma,Roto el Corazon,0.414,0.948,-4.16,0.247,0.241,7.12e-05,0.348,0.81,200.142,218291.0,2
Radio Radio,"Roulez, commencez",0.539,0.637,-12.093,0.117,0.834,0.0201,0.137,0.391,92.038,193973.0,1
The Police,Roxanne,0.593,0.635,-11.474,0.431,0.0643,0.0,0.0261,0.786,133.137,194760.0,0
John Travolta,"Royale With Cheese - Dialogue Excerpt From ""Pulp Fiction""",0.553,0.745,-17.07,0.589,0.766,0.0,0.513,0.183,108.349,103467.0,0
Lorde,Royals,0.674,0.428,-9.504,0.122,0.121,0.0,0.132,0.337,84.878,190185.0,6
